Brand,Date,Facebook Page Impressions,Twitter Organic Impressions
Rockettes,7/27/2016,"979,923","61,295"
Rockettes,7/28/2016,"897,480","56,322"
Rockettes,7/29/2016,"988,989","48,488"
Rockettes,7/30/2016,"978,663","35,554"
Rockettes,7/31/2016,"679,063","23,518"
Rockettes,8/1/2016,"515,818","62,633"
Rockettes,8/2/2016,"707,574","65,334"
Rockettes,8/3/2016,"567,910","39,287"
Rockettes,8/4/2016,"717,798","41,756"
Rockettes,8/5/2016,"850,222","64,265"
Rockettes,8/6/2016,"1,019,759","27,710"
Rockettes,8/7/2016,"775,335","31,035"
Rockettes,8/8/2016,"805,587","30,346"
Rockettes,8/9/2016,"738,609","28,288"
Rockettes,8/10/2016,"313,651","27,129"
Rockettes,8/11/2016,"282,687","47,292"
Rockettes,8/12/2016,"616,480","41,072"
Rockettes,8/13/2016,"431,515","26,051"
Rockettes,8/14/2016,"362,415","22,833"
Rockettes,8/15/2016,"376,647","42,090"
Rockettes,8/16/2016,"407,917","40,543"
Rockettes,8/17/2016,"595,794","31,028"
Rockettes,8/18/2016,"461,776","35,362"
Rockettes,8/19/2016,"482,711","84,343"
Rockettes,8/20/2016,"360,698","32,479"
Rockettes,8/21/2016,"338,056","32,583"
Rockettes,8/22/2016,"568,118","30,758"
Rockettes,8/23/2016,"1,593,391","40,247"
Rockettes,8/24/2016,"984,671","27,750"
Rockettes,8/25/2016,"433,752","54,590"
Rockettes,8/26/2016,"377,110","38,739"
Rockettes,8/27/2016,"329,571","26,992"
Rockettes,8/28/2016,"234,944","30,503"
Rockettes,8/29/2016,"420,528","30,107"
Rockettes,8/30/2016,"317,723","43,912"
Rockettes,8/31/2016,"491,231","26,456"
Rockettes,9/1/2016,"440,405","21,412"
Rockettes,9/2/2016,"388,804","22,048"
Rockettes,9/3/2016,"369,264","22,895"
Rockettes,9/4/2016,"240,086","29,335"
Rockettes,9/5/2016,"290,109","33,314"
Rockettes,9/6/2016,"332,313","23,082"
Rockettes,9/7/2016,"394,448","21,629"
Rockettes,9/8/2016,"274,419","22,962"
Rockettes,9/9/2016,"213,535","25,879"
Rockettes,9/10/2016,"277,439","20,702"
Rockettes,9/11/2016,"272,298","20,882"
Rockettes,9/12/2016,"232,578","30,106"
Rockettes,9/13/2016,"312,663","23,005"
Rockettes,9/14/2016,"253,814","22,902"
Rockettes,9/15/2016,"411,984","25,250"
Rockettes,9/16/2016,"985,596","25,139"
Rockettes,9/17/2016,"555,346","22,820"
Rockettes,9/18/2016,"328,588","26,873"
Rockettes,9/19/2016,"377,187","57,592"
Rockettes,9/20/2016,"288,541","33,397"
Rockettes,9/21/2016,"320,092","48,978"
Rockettes,9/22/2016,"370,100","57,841"
Rockettes,9/23/2016,"233,114","33,195"
Rockettes,9/24/2016,"291,752","21,822"
Rockettes,9/25/2016,"293,604","25,091"
Rockettes,9/26/2016,"620,970","29,531"
Rockettes,9/27/2016,"472,375","28,941"
Rockettes,9/28/2016,"644,939","109,076"
Rockettes,9/29/2016,"696,278","45,110"
Rockettes,9/30/2016,"786,605","32,622"
Rockettes,10/1/2016,"565,642","20,059"
Rockettes,10/2/2016,"484,524","23,572"
Rockettes,10/3/2016,"1,024,977","20,995"
Rockettes,10/4/2016,"403,039","18,877"
Rockettes,10/5/2016,"509,950","24,621"
Rockettes,10/6/2016,"1,051,326","22,494"
Rockettes,10/7/2016,"1,345,883","19,046"
Rockettes,10/8/2016,"693,188","19,582"
Rockettes,10/9/2016,"600,488","16,802"
Rockettes,10/10/2016,"378,593","37,399"
Rockettes,10/11/2016,"440,980","19,727"
Rockettes,10/12/2016,"1,114,289","26,630"
Rockettes,10/13/2016,"2,326,539","36,501"
Rockettes,10/14/2016,"2,009,112","21,046"
